track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cluster,pca1,pca2
Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317,65,45,398,0,1,166,10.0,0,81,83,75,14,0,29,34,0,-2.1454580759250907,1.1033677361577907
Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285,5,1,62,0,0,120,8.0,1,67,8,54,27,0,8,4,3,1.4237007906951336,-0.121209805712829
Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,258714692,47,3,42,12,6,85,8.0,0,74,61,52,30,0,26,9,2,-0.2315021112444345,0.9686602489810583
212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338,10,0,39,0,0,154,2.0,0,79,86,52,66,0,9,7,2,0.0029550598130096747,1.5321510596602548
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491,42,7,15,0,4,92,2.0,0,73,37,74,28,0,14,6,2,-0.38704658955697957,0.06986334388031887
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573,25,0,14,0,0,140,11.0,1,89,75,70,6,0,13,5,1,-1.4640621826707587,0.15618425588290769
Worst Day,Future,1,2022,2,11,910,0,50746620,20,3,24,0,0,89,1.0,1,65,60,60,11,0,10,40,0,-0.503535735098352,1.1969871686643951
Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,0,154119539,28,73,64,0,0,135,5.0,0,89,89,86,16,0,8,5,2,-2.410989193043263,0.4003545843004972
Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253,43,36,46,13,4,140,8.0,0,51,66,53,60,0,11,18,3,0.9185373374078791,1.2888656154098586
Alien Blues,Vundabar,1,2015,7,24,1930,0,370068639,3,0,28,0,1,82,3.0,1,47,44,76,8,91,9,3,4,2.140186288125685,-3.1022248361594063
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092,363,129,"3,895",0,28,79,2.0,1,78,58,45,47,0,18,3,1,0.7343807415564599,0.7134831330790053
Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868,47,116,266,0,0,88,5.0,1,31,31,63,47,27,21,12,3,2.5616005440050578,-1.3658846436430125
Christmas Tree,V,1,2021,12,24,509,9,317622165,8,106,6,0,8,139,5.0,1,44,18,38,70,0,12,4,3,3.298332679630437,0.007126818183446149
When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270,8,67,66,0,0,80,8.0,0,39,45,55,73,0,9,21,3,1.742180398881234,1.5020549198471809
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745,42,1,26,0,0,120,1.0,0,84,54,51,47,0,12,40,0,-0.3593143030584363,2.7037334774394366
Forever,Labrinth,1,2019,10,4,3618,0,282883169,21,86,138,0,2,80,4.0,0,56,19,46,92,72,11,3,4,4.083597510831231,-0.13632666243574898
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943,8,0,29,0,0,117,1.0,1,92,62,86,11,0,24,24,1,-2.0191878225371065,0.010889369152805839
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918,453,50,"1,785",1,8,117,9.0,0,76,77,52,4,0,8,3,2,-0.901604461276361,0.8555193827921492
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,4708,0,461437791,13,7,55,0,1,140,5.0,0,62,46,73,10,0,67,11,2,-0.667078093057657,-1.8604574246250236
Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367,246,71,519,2,5,99,8.0,1,68,57,77,2,0,10,5,1,-0.8060623701251193,-0.5918406308053706
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783,52,42,100,0,0,93,1.0,1,74,59,87,3,0,8,5,1,-1.314073945117752,-0.8802800564420261
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862,45,27,"1,197",0,43,106,8.0,1,44,8,20,74,42,11,3,4,4.967380090417104,-0.04024094698514535
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472,69,2,51,11,0,124,7.0,1,81,68,63,17,0,10,22,0,-0.8759217861496488,0.9771686997511313
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,756907987,185,40,492,9,35,95,8.0,1,76,96,70,18,0,33,4,1,-1.3357583044703245,-0.351833146699411
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415,32,682475162,46,16,53,1,2,96,10.0,0,87,82,53,10,0,5,8,2,-1.3598092721633115,1.7342684831723507
Envolver,Anitta,1,2021,11,11,4673,2,546191065,123,113,180,1,4,92,4.0,0,81,40,73,15,0,9,8,2,-0.9229571057414101,0.4645822041597583
Starlight,Dave,1,2022,3,3,1856,3,229473310,29,40,31,1,1,124,7.0,1,95,36,37,35,0,10,28,0,0.3963765362308581,2.3306471013924446
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468,12,4,0,0,0,72,6.0,1,64,76,44,70,9,12,4,3,1.4453219528362298,1.0926298207922864
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039,45,0,99,1,1,135,9.0,0,78,55,57,4,0,10,8,2,-0.752790831757804,0.6772087937164605
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954,2,527033089,18,82,0,0,5,95,10.0,1,81,56,70,4,0,5,24,0,-1.1851521141250985,1.0594487605193341
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487,7,11,13,0,0,71,1.0,0,59,70,74,56,0,11,40,0,-0.5401915395193316,2.00082219623269
Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335,29,2,35,1,0,180,10.0,0,80,71,68,6,0,10,37,0,-1.7687192618146015,1.6415910424832532
Nail Tech,Jack Harlow,1,2022,2,18,2939,0,193443895,42,0,24,0,0,150,4.0,0,65,11,58,0,0,12,9,2,0.4144698006444185,-0.4124082198067656
Chale,Eden Muï¿½ï,1,2022,2,18,695,11,299648208,16,41,13,1,1,189,8.0,1,55,86,44,40,0,7,4,3,0.985456537376557,0.17464593589150543
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,16,319757142,27,84,32,7,11,140,7.0,1,59,73,45,44,0,34,3,3,1.0158079467176773,-0.3424087411359197
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,153240879,26,1,19,0,0,104,2.0,0,80,24,65,2,0,9,4,2,-0.4825836462184511,-0.005144766571695398
this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,346127840,16,5,43,0,7,129,11.0,1,42,33,44,62,0,8,6,3,2.674261560404696,0.3224754758177148
La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938,13,1,15,0,1,94,1.0,0,76,81,80,20,0,25,4,2,-1.6609427345787995,-0.26513185463645744
Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494,11,10,267,0,7,146,9.0,0,59,23,46,66,0,15,6,3,1.9828954283187645,0.8360219293772578
Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073,233,82,531,1,1,103,6.0,0,69,90,88,5,0,29,8,2,-2.2234500707952813,-0.5871015992400483
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297,315,160,"6,284",1,46,124,2.0,1,53,66,78,0,0,16,5,1,-0.5293497653275058,-1.5893051381109289
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558,10,0,70,0,0,164,10.0,0,70,71,58,24,0,7,13,2,-0.4910753063567433,1.0216403302526589
Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,0,263779030,2,0,12,0,10,138,2.0,1,69,35,57,12,0,10,9,1,0.45266342932559206,-0.3922130960028494
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453,36,2,11,0,14,126,9.0,0,67,37,46,13,0,10,39,0,0.03022733970289346,2.0783950249557854
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2204080728,336,188,"2,692",3,30,103,11.0,0,61,47,65,3,0,17,4,2,-0.3708185582981359,-0.15886341812561036
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264,315,159,"2,179",0,44,95,8.0,1,75,64,52,41,0,11,3,1,0.3928962889034736,0.78209475424943
O.O,NMIXX,1,2022,2,22,290,0,135444283,9,66,10,0,0,200,11.0,0,39,28,77,4,0,6,29,0,0.1518621909198586,-0.3644018923919306
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,236872197,15,48,50,0,3,98,6.0,0,68,33,43,38,0,36,14,2,0.8659818754150459,0.7171049190466043
First Class,Jack Harlow,1,2022,4,8,8737,0,694525298,163,32,137,15,12,107,8.0,1,91,32,56,3,0,11,10,1,-0.40254530822170126,0.5559154702452187
Fuera del mercado,Danny Ocean,1,2022,2,17,2499,21,421365166,68,24,43,1,0,92,8.0,1,45,27,67,32,0,13,14,3,1.2259827535540961,-0.38231515052558085
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291,55,3,32,0,0,90,7.0,1,81,59,83,9,0,11,5,1,-1.3315863680789806,-0.2909088264477047
When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451,75,11,44,0,14,147,5.0,1,60,58,69,2,0,58,4,1,-0.3469399977874904,-2.4425480559364776
In My Head,Lil Tjay,1,2022,4,1,1185,0,190981339,21,0,31,0,0,143,1.0,1,68,41,55,16,0,10,12,1,0.4800759253469457,-0.20935154765709266
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303,79,80,250,3,10,101,3.0,0,76,63,71,3,0,10,3,2,-1.2779499996144668,0.017633460021341887
LOVE DIVE,IVE,1,2022,4,5,753,8,305771063,28,124,13,0,1,118,1.0,0,70,54,71,0,0,33,4,2,-1.0161676595054911,-1.0644955667331095
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,273005485,49,17,30,0,0,98,7.0,0,83,63,74,14,0,16,6,2,-1.4724317719948994,0.45640829386204074
Chance,Paulo Londra,1,2022,4,6,225,0,89566512,11,0,7,0,0,138,1.0,0,72,22,46,24,0,9,6,2,0.8617292326042431,0.4148628970887538
Cool for the Summer,Demi Lovato,1,2015,1,1,9243,0,677389855,155,5,577,0,6,114,5.0,0,59,30,62,1,0,8,4,2,0.1460382492423813,-0.37041550235212256
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,0,75476209,24,0,52,0,0,180,7.0,0,63,45,64,34,0,9,8,2,0.31176436053080225,0.12777404197853762
Angel Baby,Troye Sivan,1,2021,9,9,1959,9,408843328,52,25,32,0,10,145,11.0,1,56,41,57,1,0,13,3,1,0.5873377108524098,-0.851227792403262
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,4,187772591,26,3,39,0,0,115,8.0,0,78,63,64,1,0,7,4,2,-1.1537957362823823,0.4954992706398369
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,0,178512385,14,0,11,0,0,82,10.0,1,79,48,84,13,0,21,23,1,-1.3133566491477493,0.29774680500520306
Right On,Lil Baby,1,2022,4,8,1116,0,101780047,31,9,15,0,1,166,2.0,1,70,22,61,2,0,10,34,0,0.06202428550397724,0.21847579778638593
That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130,11,6,12,0,15,108,6.0,1,71,55,44,74,0,11,6,3,1.5466302570797394,1.2676302618676996
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,0,126443991,5,0,4,0,1,84,4.0,0,71,63,45,45,0,11,3,2,0.4674492973917201,1.2944635834817735
RUMBATï¿½,Daddy Yankee,1,2022,3,25,1264,0,157990698,20,4,52,0,1,95,3.0,0,69,90,91,6,0,35,4,2,-2.2654591902561667,-1.0850147627171627
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,0,176290831,32,0,49,0,0,135,3.0,0,93,77,45,25,0,13,27,0,-1.1025185570279494,2.3433236768096712
Falling,Harry Styles,1,2019,12,13,7556,0,1023187129,124,24,254,0,8,110,4.0,1,57,6,27,84,0,9,3,3,3.71840388031274,0.9398654745764572
Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,106933107,46,8,60,0,0,88,7.0,1,89,59,64,5,0,19,7,1,-1.0871506057120073,0.2278654702082559
Fim de Semana no Rio,teto,1,2022,3,30,315,2,139193812,27,2,31,0,0,119,1.0,0,87,28,50,12,0,10,10,2,-0.16023787058343125,0.8489481634303707
MANIAC,Stray Kids,1,2022,3,18,651,0,212234990,6,188,20,0,0,120,1.0,1,58,71,80,15,0,7,41,0,-1.0317350161013334,0.5727476048372003
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,12382,0,1714490998,229,57,"1,370",2,71,122,2.0,1,86,97,80,36,0,9,6,1,-1.5563776442303459,0.27988141035325503
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,0,197643795,10,2,13,0,1,98,5.0,1,78,83,75,41,0,27,8,1,-0.9102194055779105,0.01660634950600871
Golden,Harry Styles,1,2019,12,13,8429,1,807015863,85,24,200,0,2,140,4.0,0,45,25,84,21,0,13,6,2,0.3322962861770754,-1.3150247048906727
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1,52898,0,933815613,203,1,"8,215",0,0,116,6.0,0,79,87,81,4,0,10,4,2,-2.1421832800552174,0.12042296067546414
Ain't Shit,Doja Cat,1,2021,6,25,3436,0,499710590,32,6,46,0,1,124,3.0,1,86,62,49,51,0,35,21,0,0.12531078327852818,0.995986036878795
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25,918,0,120847157,34,39,30,0,0,105,9.0,0,91,73,72,13,0,9,15,2,-1.966449889616111,1.4284909358203766
Still Life,BIGBANG,1,2022,4,5,181,0,53909146,16,14,7,0,0,118,8.0,1,68,24,58,44,0,6,3,3,1.2845232739587726,0.19739739393625205
Photograph,Ed Sheeran,1,2014,6,20,18778,3,2236667932,228,105,"2,453",0,84,108,4.0,1,61,20,38,61,0,10,5,3,2.5105562941257493,0.595818532625075
Love Yourself,Justin Bieber,1,2015,11,9,22730,5,2123309722,289,87,"2,430",0,36,100,4.0,1,61,53,38,84,0,28,44,0,1.7162258861730708,2.4212456998782486
N95,Kendrick Lamar,1,2022,5,13,5542,0,301242089,52,16,65,0,206,140,3.0,0,81,39,66,38,0,12,14,2,-0.26306946312726354,0.8227913638020616
About Damn Time,Lizzo,1,2022,4,14,9021,0,723894473,242,49,272,21,24,109,10.0,0,84,72,74,10,0,34,7,2,-1.8091413885628225,0.08764912945626262
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13,4627,0,237351106,38,13,32,0,0,101,1.0,0,78,40,74,36,0,17,27,0,-0.7265096048652671,1.084032489168399
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,2229,0,461558540,27,44,24,0,5,78,5.0,1,56,61,90,36,0,18,31,0,-0.6974700965478668,0.18333262455728577
United In Grief,Kendrick Lamar,1,2022,5,13,2575,0,156898322,4,5,12,0,51,87,8.0,1,52,32,83,24,0,17,43,0,-0.16776462616345633,0.5037755079147265
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180,4,0,22,0,0,153,10.0,0,55,50,78,19,0,11,35,0,-0.6894525358486169,0.7884766518970538
Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0,173702135,20,10,33,0,0,96,10.0,0,85,41,43,39,0,12,21,0,0.15135038421549313,2.444117072484369
Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,305650299,9,11,22,1,0,85,10.0,1,71,43,65,23,0,9,5,1,0.11805307653406136,0.21523994862000065
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717,22,0,23,0,0,140,1.0,0,92,78,57,46,0,14,9,2,-0.8410124511322562,1.3877014183225966
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,8,479655659,8,25,18,1,0,196,11.0,0,66,58,79,23,0,22,20,2,-0.9135585801811158,-0.00584279255888783
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,126191104,3,7,13,0,1,134,7.0,1,78,51,43,69,0,14,9,3,1.3312954665280867,1.316388812832203
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0,344055883,8,30,13,1,1,103,1.0,0,80,45,62,76,0,10,38,0,0.11768836846624285,2.7509373099871666
Dos Mil 16,Bad Bunny,1,2022,5,6,892,3,338422004,10,24,11,0,0,130,1.0,1,82,50,67,12,0,13,5,1,-0.5308130294229118,-0.443818221165149
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644,4,1,6,0,0,108,11.0,1,65,52,69,31,0,8,36,0,-0.23224778841544322,1.4284784972990932
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890,9,0,8,0,0,123,8.0,1,61,66,71,53,0,32,46,0,-0.20069722298332013,1.2210308151694995
Un Coco,Bad Bunny,1,2022,5,6,1029,28,403231558,5,28,9,0,0,152,11.0,1,84,74,69,21,0,18,6,1,-0.9887915224218561,0.08967538702709626
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7,319546754,10,30,13,0,33,108,2.0,1,78,55,60,59,0,7,4,1,0.5838936338428699,0.6692572989542764
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839,1,0,5,0,0,72,10.0,0,56,56,47,76,0,8,36,0,1.096036251831061,3.1239065603502616
Aguacero,Bad Bunny,1,2022,5,6,829,0,283359161,4,15,10,0,0,121,6.0,0,86,67,65,42,0,35,7,2,-0.860889752806333,0.5318611415912053
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876,7,0,7,0,0,138,3.0,0,57,71,82,19,0,15,29,0,-1.2071041858342724,0.2855019959040754
Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1,283332261,8,12,9,0,0,188,5.0,0,50,41,50,69,0,12,6,3,1.9361891468471988,0.3114114832774534
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14,1367,0,307752576,48,4,34,1,0,110,1.0,1,80,26,85,23,0,11,21,1,-0.636367177537058,-0.08969048293483803
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,3,279737940,7,25,12,0,0,105,8.0,1,81,77,79,19,0,47,8,1,-1.4831599839965024,-0.853511016275939
El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0,212351890,9,7,14,0,1,118,8.0,1,63,60,70,5,0,9,31,0,-0.740048574899052,0.5729135298537429
Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,1304313953,162,116,355,7,0,176,2.0,1,61,24,62,60,0,24,31,0,1.3558789642064388,0.23235970774727038
Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965,35,0,3,0,0,158,11.0,1,83,41,65,0,10,11,8,1,-0.3749489005858226,-0.32816799564696564
Agosto,Bad Bunny,1,2022,5,6,897,0,246127838,6,20,8,0,0,115,1.0,0,85,72,58,9,0,49,12,2,-1.3966758134036508,-0.1443762567784388
House Of Memories,Panic! At The Disco,1,2016,1,15,2948,0,582863434,10,2,150,0,0,110,11.0,0,51,48,82,0,0,5,3,2,-0.6294688218281558,-0.6499211447514214
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425,1,0,3,0,0,174,9.0,1,73,26,54,30,0,34,32,0,0.5766160989708157,0.42219037568712287
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,212109195,16,81,23,0,0,130,4.0,1,91,91,96,3,0,3,9,1,-2.748087642279835,-0.18322598139484758
In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619,48,40,87,1,210,78,10.0,1,36,30,54,34,0,14,5,3,2.0005192722816942,-0.4917317722208809
Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087,0,0,0,0,0,104,7.0,1,44,74,42,88,0,9,9,3,2.307768483180691,1.1831421968133196
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,2265,0,231657891,93,12,173,11,3,121,7.0,1,64,80,88,0,0,12,6,1,-1.4970213305319202,-1.0400435430136934
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,53729194,10,4,4,0,0,105,2.0,1,83,32,82,14,0,12,4,1,-0.6986719116151144,-0.7206889960132977
Thousand Miles,The Kid Laroi,1,2022,4,22,2050,0,244741137,52,9,46,0,1,81,7.0,1,38,20,66,9,0,9,8,3,1.268290306863242,-1.0697999893110501
Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571,2,0,10,0,0,170,1.0,0,37,14,24,80,0,11,4,3,3.9308073123222216,0.4604496900059766
Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188,1,0,4,0,0,78,7.0,1,43,60,38,76,1,48,38,0,1.9980700058418919,1.2726703305369043
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729,28,42,23,0,0,125,8.0,1,88,28,66,6,0,13,31,0,-0.7640614360762495,0.988762050006814
Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447,2,0,4,0,0,92,4.0,0,66,29,65,23,0,8,7,2,0.1821440167082908,0.28397014083730865
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717,16,11,18,0,0,140,11.0,0,84,61,42,31,0,9,9,2,-0.08043571980482096,1.806329940778937
Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,37091576,0,0,3,0,0,118,5.0,0,66,83,43,84,0,19,19,3,0.8350665553669894,2.24809260312035
Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,6,284249832,10,22,3,0,0,92,11.0,0,71,67,60,7,0,6,4,2,-0.8153285253247278,0.8285686862211027
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,33381454,3,0,2,0,0,140,8.0,0,49,50,37,87,0,11,35,0,2.077577738895031,2.6790673955155695
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,2,184622518,23,16,9,0,5,174,1.0,1,68,45,71,18,0,11,25,0,-0.21241891844974836,-0.20682685454827765
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,300983101,135,74,119,1,18,127,10.0,1,77,53,78,19,0,29,4,1,-0.7374330526165404,-0.8119755947199576
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868,15,3,3,0,0,96,11.0,1,71,37,52,62,0,11,36,0,0.9647474511712583,2.3705699314610507
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680,26,1,17,0,0,150,8.0,0,82,82,66,13,0,11,6,2,-1.4709990928040486,0.631576942930476
ZOOM,Jessi,1,2022,4,13,608,0,136996305,5,29,14,0,0,100,6.0,1,87,46,60,1,0,13,16,1,-0.8003271498543971,0.5717401867397255
SloMo,Chanel,1,2021,12,24,1211,0,65719930,31,0,19,0,2,105,1.0,0,73,59,81,13,0,9,6,2,-1.2732968035584964,-0.15611500356382715
FEARLESS,LE SSERAFIM,1,2022,5,2,629,0,229497852,18,75,9,0,0,104,7.0,1,86,43,62,5,0,13,14,1,-0.674860593638119,0.4645622259028296
10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,185550869,23,1,15,0,0,154,8.0,1,54,45,79,1,0,17,5,1,-0.1567391566963894,-1.660267459851171
SPACE MAN,Sam Ryder,1,2022,2,22,1329,0,54682594,42,51,32,0,0,80,11.0,1,47,33,83,18,0,10,5,1,0.3661860317111686,-1.0046413012761812
With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2,240580042,4,35,11,1,1,150,3.0,1,53,14,43,64,0,13,3,3,2.8550930161751182,-0.222867209355225
Iris,The Goo Goo Dolls,1,1998,3,31,13101,9,1284942608,137,5,582,0,0,156,11.0,0,32,49,72,0,0,9,4,2,0.32016408297436605,-1.2544030895976013
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324,29,0,30,0,0,98,8.0,0,76,79,81,18,0,6,34,0,-2.066506238762513,1.8205471182146693
San Lucas,Kevin Kaarl,1,2019,11,7,407,1,244891912,5,0,5,0,0,92,7.0,1,58,27,36,86,0,9,3,3,2.9878593312896857,1.1619495041304817
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0,132171975,26,2,15,0,2,144,4.0,1,47,7,50,32,0,7,4,3,2.34960345437776,-0.7972933160162213
Good Looking,Suki Waterhouse,1,2017,10,20,2264,0,184706613,11,6,25,0,1,150,4.0,1,37,27,56,8,0,13,3,3,1.6497931837418074,-1.6913511024184416
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,42,9,24,1,1,138,3.0,1,70,31,44,84,0,9,39,0,1.8413040393973605,2.4052397991490295
Yet To Come,BTS,1,2022,6,10,829,0,302006641,32,110,26,0,0,172,1.0,1,56,68,89,4,0,33,19,1,-1.1052396596830794,-1.922874016485214
Run BTS,BTS,1,2022,6,10,736,0,330881149,5,132,17,0,3,77,8.0,1,72,70,82,2,0,4,17,1,-1.521502002249651,0.31410726394204913
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1,334733572,80,11,66,0,1,107,11.0,1,72,36,72,26,6,11,4,1,0.2074184169974553,-0.24809061062501503
Matilda,Harry Styles,1,2022,5,20,3218,3,366214458,29,10,79,0,0,114,2.0,1,51,39,29,90,0,10,4,3,3.3199107074592025,0.9510751824832222
For Youth,BTS,1,2022,6,10,327,0,114546317,5,40,12,0,0,117,2.0,1,63,29,51,43,0,25,4,3,1.5141298218699089,-0.5058146481725265
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,448500832,79,13,93,0,17,160,8.0,0,80,74,60,8,0,14,26,0,-1.4131514181491003,1.3307317268224517
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504,34,0,29,0,0,120,7.0,1,88,15,56,1,0,8,6,1,0.06587832437075637,0.10793516210192931
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045,73,45,119,0,0,100,11.0,0,82,76,70,16,0,8,5,2,-1.5002348568012582,1.0103398638062084
Born Singer,BTS,1,2022,6,10,279,0,79095270,0,18,6,0,0,158,8.0,0,60,68,84,4,0,24,11,2,-1.359183519574687,-0.8699025229815353
Little Freak,Harry Styles,1,2022,5,20,2302,0,273194684,20,3,39,0,0,142,3.0,1,56,40,54,72,0,10,4,3,2.034687992194741,0.06102468316917862
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3,333146475,36,1,31,0,1,170,9.0,0,80,77,85,11,0,17,14,2,-2.0686310072565717,0.12693595677588482
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696,23,1,44,1,0,84,5.0,0,71,39,86,2,0,51,25,2,-1.617171582830448,-0.7071473384671503
