track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cluster,pca1,pca2
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174,17,5,21,0,0,84,2.0,1,67,78,63,29,0,12,5,1,-0.22433079388178104,0.05437311971569771
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621,101,34,70,1,2,154,6.0,1,66,63,69,21,0,11,7,1,-0.18346931008739714,-0.4780684121155286
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852,237,123,569,0,10,148,5.0,1,59,72,62,18,0,9,3,1,0.09231001508489171,-0.5976235739049429
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982,45,43,45,0,3,146,5.0,0,85,22,37,13,0,7,30,0,0.2241381514290238,2.0832180383830425
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,0,566954746,171,51,187,1,21,120,11.0,0,77,51,79,20,0,26,6,2,-1.1199199831485005,-0.07038684142939301
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16,0,54,0,0,110,9.0,1,53,75,69,7,0,17,3,1,-0.30622067723983654,-0.9022804348773437
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148,20,38,12,0,0,141,1.0,1,59,56,63,12,0,6,36,0,-0.17371986970984996,0.5669376375361385
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,1,1,3,0,0,108,9.0,0,46,23,48,75,30,14,4,3,3.0786287962460257,0.1482263034219905
Freaks,Surf Curse,1,2015,5,10,3006,3,824420218,23,21,121,0,13,180,9.0,1,35,41,94,0,63,5,5,4,1.3714542773064646,-3.604823169889893
Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642,111,5,182,1,0,122,10.0,1,77,51,79,5,0,16,5,1,-0.9739825238878687,-0.614508900044826
Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248,42,70,384,0,3,85,10.0,1,59,33,52,7,15,12,3,1,1.1430398288120682,-0.5558238473133156
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939,3,0,5,0,0,148,1.0,1,68,29,73,0,0,7,7,1,-0.09002094468395135,-1.1606769312053389
